Tournament,Country,City,Coordinates,Date,Series,Court,Surface,Round,Best_of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Score
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-04,ATP Tour 250,Outdoor,Hard,1st Round,3,Gasquet R.,Gicquel M.,Gasquet R.,23,50,2320,1428,4-6 6-2 6-2
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-04,ATP Tour 250,Outdoor,Hard,1st Round,3,Darcis S.,Dent T.,Dent T.,59,865,1362,28,6-7 2-6
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-04,ATP Tour 250,Outdoor,Hard,1st Round,3,Benneteau J.,Ginepri R.,Benneteau J.,40,49,1608,1480,3-6 6-3 7-5
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-04,ATP Tour 250,Outdoor,Hard,1st Round,3,Querrey S.,Soderling R.,Soderling R.,36,17,1740,2650,3-6 3-6
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-05,ATP Tour 250,Outdoor,Hard,1st Round,3,Nieminen J.,Baghdatis M.,Nieminen J.,41,96,1600,950,5-7 6-1 6-4
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-05,ATP Tour 250,Outdoor,Hard,1st Round,3,Kunitsyn I.,Stepanek R.,Stepanek R.,45,26,1562,2260,2-6 2-6
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-05,ATP Tour 250,Outdoor,Hard,1st Round,3,Melzer J.,Fish M.,Melzer J.,32,22,1878,2330,6-4 4-6 7-6
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-05,ATP Tour 250,Outdoor,Hard,1st Round,3,Tomic B.,Verdasco F.,Verdasco F.,764,15,42,2830,4-6 2-6
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-06,ATP Tour 250,Outdoor,Hard,1st Round,3,Berdych T.,Klein B.,Berdych T.,20,248,2430,304,6-0 6-4
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-06,ATP Tour 250,Outdoor,Hard,1st Round,3,Ferrero J.C.,Serra F.,Serra F.,52,60,1410,1324,3-6 6-7
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-06,ATP Tour 250,Outdoor,Hard,1st Round,3,Ancic M.,Delic A.,Ancic M.,35,131,1800,716,7-6 6-7 7-6
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-06,ATP Tour 250,Outdoor,Hard,1st Round,3,Djokovic N.,Gulbis E.,Gulbis E.,3,53,10590,1408,4-6 4-6
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-06,ATP Tour 250,Outdoor,Hard,1st Round,3,Mathieu P.H.,Gabashvili T.,Mathieu P.H.,31,65,2000,1226,6-3 6-3
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-06,ATP Tour 250,Outdoor,Hard,1st Round,3,Reynolds B.,Nishikori K.,Nishikori K.,68,61,1144,1280,3-6 2-6
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-06,ATP Tour 250,Outdoor,Hard,1st Round,3,Llodra M.,Sirianni J.,Llodra M.,54,263,1400,282,5-7 7-6 6-2
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-06,ATP Tour 250,Outdoor,Hard,1st Round,3,Calleri A.,Tsonga J.W.,Tsonga J.W.,62,7,1250,3950,2-6 5-7
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-06,ATP Tour 250,Outdoor,Hard,2nd Round,3,Soderling R.,Benneteau J.,Soderling R.,17,40,2650,1608,6-3 6-3
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-06,ATP Tour 250,Outdoor,Hard,2nd Round,3,Dent T.,Gasquet R.,Gasquet R.,865,23,28,2320,5-7 4-6
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-07,ATP Tour 250,Outdoor,Hard,2nd Round,3,Mathieu P.H.,Gulbis E.,Mathieu P.H.,31,53,2000,1408,6-3 6-4
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-07,ATP Tour 250,Outdoor,Hard,2nd Round,3,Melzer J.,Serra F.,Serra F.,32,60,1878,1324,4-6 3-6
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-07,ATP Tour 250,Outdoor,Hard,2nd Round,3,Tsonga J.W.,Nieminen J.,Tsonga J.W.,7,41,3950,1600,0-6 7-6 7-6
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-07,ATP Tour 250,Outdoor,Hard,2nd Round,3,Ancic M.,Verdasco F.,Verdasco F.,35,15,1800,2830,2-6 3-6
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-07,ATP Tour 250,Outdoor,Hard,2nd Round,3,Stepanek R.,Llodra M.,Stepanek R.,26,54,2260,1400,7-6 6-3
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-07,ATP Tour 250,Outdoor,Hard,2nd Round,3,Berdych T.,Nishikori K.,Nishikori K.,20,61,2430,1280,6-7 3-6
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-08,ATP Tour 250,Outdoor,Hard,Quarterfinals,3,Verdasco F.,Serra F.,Verdasco F.,15,60,2830,1324,4-6 6-0 6-3
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-08,ATP Tour 250,Outdoor,Hard,Quarterfinals,3,Nishikori K.,Mathieu P.H.,Mathieu P.H.,61,31,1280,2000,3-6 4-6
Brisbane International,Australia,Brisbane,"[153.0251, -27.4698]",2009-01-09,ATP Tour 250,Outdoor,Hard,Quarterfinals,3,Stepanek R.,Soderling R.,Stepanek R.,26,17,2260,2650,2-6 6-4 6-3
