Player,YearEnd_Rank,YearEnd_Points,Year
Roger Federer,1,10550,2009
Rafael Nadal,2,9205,2009
Novak Djokovic,3,8310,2009
Andy Murray,4,7030,2009
Juan Martin del Potro,5,6785,2009
Nikolay Davydenko,6,4930,2009
Andy Roddick,7,4410,2009
Robin Soderling,8,3410,2009
Fernando Verdasco,9,3300,2009
Jo-Wilfried Tsonga,10,2875,2009
Rafael Nadal,1,12450,2010
Roger Federer,2,9145,2010
Novak Djokovic,3,6035,2010
Andy Murray,4,5760,2010
Robin Soderling,5,5580,2010
Tomas Berdych,6,3955,2010
David Ferrer,7,3735,2010
Andy Roddick,8,3665,2010
Fernando Verdasco,9,3240,2010
Mikhail Youzhny,10,2920,2010
Novak Djokovic,1,13630,2011
Rafael Nadal,2,9595,2011
Roger Federer,3,8170,2011
Andy Murray,4,7380,2011
David Ferrer,5,4925,2011
Jo-Wilfried Tsonga,6,4335,2011
Tomas Berdych,7,3700,2011
Mardy Fish,8,2965,2011
Janko Tipsarevic,9,2595,2011
Nicolas Almagro,10,2380,2011
Novak Djokovic,1,12920,2012
Roger Federer,2,10265,2012
Andy Murray,3,8000,2012
Rafael Nadal,4,6690,2012
David Ferrer,5,6505,2012
Tomas Berdych,6,4680,2012
Juan Martin del Potro,7,4480,2012
Jo-Wilfried Tsonga,8,3490,2012
Janko Tipsarevic,9,2990,2012
Richard Gasquet,10,2515,2012
Rafael Nadal,1,13030,2013
Novak Djokovic,2,12260,2013
David Ferrer,3,5800,2013
Andy Murray,4,5790,2013
Juan Martin del Potro,5,5255,2013
Roger Federer,6,4205,2013
Tomas Berdych,7,4180,2013
Stan Wawrinka,8,3730,2013
Richard Gasquet,9,3300,2013
Jo-Wilfried Tsonga,10,3065,2013
Novak Djokovic,1,11360,2014
Roger Federer,2,9775,2014
Rafael Nadal,3,6835,2014
Stan Wawrinka,4,5370,2014
Kei Nishikori,5,5025,2014
Andy Murray,6,4675,2014
Tomas Berdych,7,4600,2014
Milos Raonic,8,4440,2014
Marin Cilic,9,4150,2014
David Ferrer,10,4045,2014
Novak Djokovic,1,16585,2015
Andy Murray,2,8945,2015
Roger Federer,3,8265,2015
Stan Wawrinka,4,6865,2015
Rafael Nadal,5,5230,2015
Tomas Berdych,6,4620,2015
David Ferrer,7,4305,2015
Kei Nishikori,8,4235,2015
Richard Gasquet,9,2850,2015
Jo-Wilfried Tsonga,10,2635,2015
Andy Murray,1,12410,2016
Novak Djokovic,2,11780,2016
Milos Raonic,3,5450,2016
Stan Wawrinka,4,5315,2016
Kei Nishikori,5,4905,2016
Marin Cilic,6,3650,2016
Gael Monfils,7,3625,2016
Dominic Thiem,8,3415,2016
Rafael Nadal,9,3300,2016
Tomas Berdych,10,3060,2016
Rafael Nadal,1,10645,2017
Roger Federer,2,9605,2017
Grigor Dimitrov,3,5150,2017
Alexander Zverev,4,4610,2017
Dominic Thiem,5,4015,2017
Marin Cilic,6,3805,2017
David Goffin,7,3775,2017
Jack Sock,8,3165,2017
Stan Wawrinka,9,3150,2017
Pablo Carreno Busta,10,2615,2017
Novak Djokovic,1,9045,2018
Rafael Nadal,2,7480,2018
Roger Federer,3,6420,2018
Alexander Zverev,4,6385,2018
Juan Martin del Potro,5,5300,2018
Kevin Anderson,6,4710,2018
Marin Cilic,7,4250,2018
Dominic Thiem,8,4095,2018
Kei Nishikori,9,3590,2018
John Isner,10,3155,2018
Rafael Nadal,1,9985,2019
Novak Djokovic,2,9145,2019
Roger Federer,3,6590,2019
Daniil Medvedev,4,5825,2019
Dominic Thiem,5,5705,2019
Stefanos Tsitsipas,6,5300,2019
Alexander Zverev,7,3345,2019
Matteo Berrettini,8,2870,2019
Roberto Bautista Agut,9,2540,2019
Gael Monfils,10,2530,2019
Novak Djokovic,1,12030,2020
Rafael Nadal,2,9850,2020
Dominic Thiem,3,9125,2020
Daniil Medvedev,4,8470,2020
Roger Federer,5,6630,2020
Stefanos Tsitsipas,6,5925,2020
Alexander Zverev,7,5525,2020
Andrey Rublev,8,4119,2020
Diego Schwartzman,9,3455,2020
Matteo Berrettini,10,3075,2020
Novak Djokovic,1,11540,2021
Daniil Medvedev,2,8640,2021
Alexander Zverev,3,7840,2021
Stefanos Tsitsipas,4,6540,2021
Andrey Rublev,5,5150,2021
Rafael Nadal,6,4875,2021
Matteo Berrettini,7,4568,2021
Casper Ruud,8,4160,2021
Hubert Hurkacz,9,3706,2021
Jannik Sinner,10,3350,2021
Carlos Alcaraz,1,6820,2022
Rafael Nadal,2,6020,2022
Casper Ruud,3,5820,2022
Stefanos Tsitsipas,4,5550,2022
Novak Djokovic,5,4820,2022
Felix Auger-Aliassime,6,4195,2022
Daniil Medvedev,7,4065,2022
Andrey Rublev,8,3930,2022
Taylor Fritz,9,3355,2022
Hubert Hurkacz,10,2905,2022
Novak Djokovic,1,11245,2023
Carlos Alcaraz,2,8855,2023
Daniil Medvedev,3,7600,2023
Jannik Sinner,4,6490,2023
Andrey Rublev,5,4805,2023
Stefanos Tsitsipas,6,4235,2023
Alexander Zverev,7,3985,2023
Holger Rune,8,3660,2023
Hubert Hurkacz,9,3245,2023
Taylor Fritz,10,3100,2023
Jannik Sinner,1,11830,2024
Alexander Zverev,2,7915,2024
Carlos Alcaraz,3,7010,2024
Taylor Fritz,4,5100,2024
Daniil Medvedev,5,5030,2024
Casper Ruud,6,4255,2024
Novak Djokovic,7,3910,2024
Andrey Rublev,8,3760,2024
Alex de Minaur,9,3745,2024
Grigor Dimitrov,10,3350,2024
